                                                      Productions          |   lt                                                                      |   program                                                                 |   float                                                                   |   put                                                                     |   EPSILON                                                                 |   else                                                                    |   leq                                                                     |   id                                                                      |   neq                                                                     |   if                                                                      |   (                                                                       |   )                                                                       |   *                                                                       |   then                                                                    |   +                                                                       |   ,                                                                       |   eq                                                                      |   -                                                                       |   .                                                                       |   /                                                                       |   :                                                                       |   ;                                                                       |   =                                                                       |   floatNum                                                                |   for                                                                     |   not                                                                     |   geq                                                                     |   and                                                                     |   get                                                                     |   [                                                                       |   class                                                                   |   ]                                                                       |   sr                                                                      |   or                                                                      |   intNum                                                                  |   gt                                                                      |   int                                                                     |   {                                                                       |   }                                                                       |   return                                                                  |

                                                     idnestRepeat          |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   idnestRepeat => [id, idnest, ., idnestRepeat]                           |                                                                           |                                                                           |                                                                           |   idnestRepeat => [EPSILON]                                               |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   idnestRepeat => [EPSILON]                                               |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   idnestRepeat => [EPSILON]                                               |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |

                                                      fParamsTail          |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   fParamsTail => [,, type, id, arraySizeRepeat]                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |

                                                             sign          |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   sign => [+]                                                             |                                                                           |                                                                           |   sign => [-]                                                             |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |

                                                          aParams          |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   aParams => [expr, aParamsTailRepeat]                                    |                                                                           |                                                                           |                                                                           |   aParams => [EPSILON]                                                    |                                                                           |                                                                           |   aParams => [expr, aParamsTailRepeat]                                    |                                                                           |                                                                           |   aParams => [expr, aParamsTailRepeat]                                    |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   aParams => [expr, aParamsTailRepeat]                                    |                                                                           |   aParams => [expr, aParamsTailRepeat]                                    |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   aParams => [expr, aParamsTailRepeat]                                    |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |

                                                             type          |                                                                           |                                                                           |   type => [float]                                                         |                                                                           |                                                                           |                                                                           |                                                                           |   type => [id]                                                            |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   type => [int]                                                           |                                                                           |                                                                           |                                                                           |

                                                        arithExpr          |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   arithExpr => [term, arithExprMod]                                       |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   arithExpr => [term, arithExprMod]                                       |                                                                           |                                                                           |   arithExpr => [term, arithExprMod]                                       |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   arithExpr => [term, arithExprMod]                                       |                                                                           |   arithExpr => [term, arithExprMod]                                       |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   arithExpr => [term, arithExprMod]                                       |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |

                                                       relExprMod          |   relExprMod => [relOp, arithExpr, relExprMod]                            |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   relExprMod => [relOp, arithExpr, relExprMod]                            |                                                                           |   relExprMod => [relOp, arithExpr, relExprMod]                            |                                                                           |                                                                           |   relExprMod => [EPSILON]                                                 |                                                                           |                                                                           |                                                                           |   relExprMod => [EPSILON]                                                 |   relExprMod => [relOp, arithExpr, relExprMod]                            |                                                                           |                                                                           |                                                                           |                                                                           |   relExprMod => [EPSILON]                                                 |                                                                           |                                                                           |                                                                           |                                                                           |   relExprMod => [relOp, arithExpr, relExprMod]                            |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   relExprMod => [relOp, arithExpr, relExprMod]                            |                                                                           |                                                                           |                                                                           |                                                                           |

                                               idnestRepeatFactor          |   idnestRepeatFactor => [EPSILON]                                         |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   idnestRepeatFactor => [EPSILON]                                         |   idnestRepeatFactor => [EPSILON]                                         |   idnestRepeatFactor => [EPSILON]                                         |                                                                           |                                                                           |   idnestRepeatFactor => [EPSILON]                                         |   idnestRepeatFactor => [EPSILON]                                         |                                                                           |   idnestRepeatFactor => [EPSILON]                                         |   idnestRepeatFactor => [EPSILON]                                         |   idnestRepeatFactor => [EPSILON]                                         |   idnestRepeatFactor => [EPSILON]                                         |   idnestRepeatFactor => [., id, idnest, idnestRepeatFactor]               |   idnestRepeatFactor => [EPSILON]                                         |                                                                           |   idnestRepeatFactor => [EPSILON]                                         |                                                                           |   idnestRepeatFactor => [EPSILON]                                         |                                                                           |   idnestRepeatFactor => [EPSILON]                                         |   idnestRepeatFactor => [EPSILON]                                         |   idnestRepeatFactor => [EPSILON]                                         |                                                                           |                                                                           |                                                                           |   idnestRepeatFactor => [EPSILON]                                         |                                                                           |   idnestRepeatFactor => [EPSILON]                                         |   idnestRepeatFactor => [EPSILON]                                         |   idnestRepeatFactor => [EPSILON]                                         |                                                                           |                                                                           |                                                                           |                                                                           |

